20110810-164328	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164332	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164335	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164339	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164343	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164346	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164350	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164354	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164357	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164401	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9573	0	0	NORM	N_D	0	0
20110810-164405	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164408	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164412	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164415	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164419	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164423	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164426	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
