20131203-133102	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9380	9380	0	0	17265	27	186	186	NORM	ACT	1	0
20131203-133106	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9380	9380	0	0	17272	41	257	266	NORM	ACT	1	0
20131203-133109	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17264	39	257	257	NORM	ACT	1	0
20131203-133113	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17284	39	257	257	NORM	ACT	1	0
20131203-133117	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17268	39	257	257	NORM	ACT	1	0
20131203-133121	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17265	39	257	257	NORM	ACT	1	0
20131203-133124	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17265	45	293	293	NORM	ACT	1	0
20131203-133128	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17275	46	293	293	NORM	ACT	1	0
20131203-133132	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17286	49	319	319	NORM	ACT	1	0
20131203-133135	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17277	51	328	328	NORM	ACT	1	0
20131203-133139	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9509	9509	0	0	17283	55	355	355	NORM	ACT	1	0
20131203-133143	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9444	9444	0	0	17277	55	355	355	NORM	ACT	1	0
20131203-133146	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17266	52	337	337	NORM	ACT	1	0
20131203-133150	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9444	9444	0	0	17276	54	355	355	NORM	ACT	1	0
20131203-133154	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17276	55	355	355	NORM	ACT	1	0
20131203-133157	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9444	9444	0	0	17275	55	355	346	NORM	ACT	1	0
20131203-133201	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17265	54	355	355	NORM	ACT	1	0
20131203-133205	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17265	54	355	355	NORM	ACT	1	0
20131203-133209	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17278	48	319	319	NORM	ACT	1	0
20131203-133212	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17272	45	284	284	NORM	ACT	1	0
20131203-133216	15532	951137	4496414	1755468	2740946	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17275	37	248	248	NORM	ACT	1	0
20131203-133220	15532	951137	4496415	1755468	2740947	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17268	36	222	222	NORM	ACT	1	0
20131203-133223	15532	951137	4496415	1755468	2740947	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17261	35	222	222	NORM	ACT	1	0
20131203-133227	15532	951137	4496415	1755468	2740947	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17258	35	222	222	NORM	ACT	1	0
20131203-133231	15532	951137	4496415	1755468	2740947	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17269	39	248	248	NORM	ACT	1	0
